"party_voted_past","mvar1","mvar2","mvar3","mvar4","mvar5","mvar6","mvar7","mvar8","mvar9","mvar10","mvar11","mvar12","mvar13","mvar14","mvar15","mvar16","mvar17","mvar18","mvar19","mvar20","mvar21","mvar22","mvar23","mvar24","mvar25","mvar26","mvar27","mvar28","mvar29","mvar30","mvar31","mvar32","mvar33"
"Centaur",13,1,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,"55+","1","0","Masters",5,"ATI","ATI"
"Ebony",0,6,7,0,0,0,3,2,0,0,0,0,1,0,0,0,2,2,0,0,0,8,9,0,0,3,"46-55","1","0","Masters",5,"Other","ANQ"
"Centaur",5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,"18-24","0","1","Degree",7,"AHS","AHS"
"Ebony",14,7,3,15,0,4,4,1,8,0,3,1,0,3,0,3,1,2,0,0,15,15,15,15,0,3,"25-35","0","0","Primary",6,"AZG","Other"
"Cosmos",0,0,0,0,7,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,3,"18-24","1","1","Masters",8,"AXT","AWX"
"Ebony",3,17,0,2,0,1,2,0,0,0,1,4,0,1,0,0,5,0,0,0,15,15,0,15,0,3,"25-35","1","1","Masters",5,"Other","Other"
"Odyssey",0,3,15,13,0,0,2,2,4,0,0,0,4,3,0,0,1,3,0,0,0,15,15,15,0,3,"18-24","1","0","Masters",8,"AJV","APH"
"Odyssey",1,1,0,11,3,1,0,0,9,1,0,0,0,1,1,0,1,0,0,0,12,0,0,15,13,4,"36-45","1","0","Diploma",5,"AWX","AWX"
"Ebony",0,15,0,0,0,0,9,0,0,0,0,1,0,0,0,0,3,0,0,0,0,15,0,0,0,3,"18-24","1","0","Diploma",7,"Other","Other"
"Odyssey",0,0,0,15,0,0,0,0,8,0,0,0,0,2,0,0,0,0,3,0,0,15,0,14,0,1,"36-45","0","0","Degree",8,"ASF","AXG"
"Centaur",5,1,2,5,0,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,15,15,15,15,0,3,"18-24","0","0","Diploma",7,"AOV","AVO"
"Centaur",12,0,0,0,0,4,0,0,0,0,3,0,0,0,0,2,0,0,0,0,15,0,0,0,0,3,"55+","1","0","Degree",5,"ACL","APH"
"Odyssey",0,0,0,10,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,4,"25-35","1","0","Degree",6,"Other","AET"
"Cosmos",9,0,0,0,17,1,0,0,0,4,0,0,0,0,4,1,0,0,0,0,15,0,0,0,15,2,"46-55","1","1","Masters",6,"AMR","AET"
"Odyssey",3,2,0,14,3,3,2,0,9,1,0,0,0,1,1,0,0,0,2,0,15,15,0,15,15,3,"18-24","0","1","Primary",7,"AVO","AVO"
"Tokugawa",9,7,12,0,4,7,4,7,0,2,1,0,0,0,1,0,3,5,0,0,15,15,14,0,13,3,"25-35","1","1","Masters",4,"AJV","AHR"
"Cosmos",0,2,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,"46-55","1","0","Degree",6,"AEC","AWX"
